subject_id,topic,model,question,options,correct_answer,coherence_1to5,relevance_1to5,distractor_quality_1to5,answer_correctness_1to5,notes
32,robot dog,old_t5small_squad,What is the name of a robot vacuum?,perceptron 72 | robot dog | neural network | robot vacuum,robot dog,5,2,1,1,Question asks about robot vacuum but answer is robot dog. Options don't make sense either. 
32,robot dog,new_flant5_sciq,"What artificial intelligence uses a unique method to learn satnav from photos of faces, which are then converted into video?",neural computation | artificial reasoning | visual reasoning | asymmetry,neural computation,3,2,4,3,Long sentence hard to understand. Off-topic question for 'robot dog'. Answer just states the general subject name rather than deriving a specific fact. 
32,video generation,old_t5small_squad,What is the name of the robot vacuum?,latent code | 28 pixels | video generation | latent space,video generation,5,1,1,1,"Question is gramatically correct, however has no relation to the topic. All the options including the answer have no relation to the question. "
32,video generation,new_flant5_sciq,"What type of computers expects to be able to walk, talk, see, write, reproduce itself and be conscious of its existence?",neural networks | machine systems | mechanical machines | robots,neural networks,4,2,3,3,Question is gramatically incorrect (computers expects) and does not specifically describe the topic (video generation). The answer 'neural networks' is plausible but indirect. 
32,robot vacuum,old_t5small_squad,What is the name of a _____?,special convolutions | negative disc | robot vacuum | robot dog,robot vacuum,1,1,2,1,"Unfilled template placeholder (structural failure, not just awkward)"
32,robot vacuum,new_flant5_sciq,What is the earliest form of machine learning?,clustering | unsupervised learning | neural learning | natural selection,unsupervised learning,4,1,3,2,"Having 'natural selection' as a distractor is an error. Unsupervised learning being the 'earliest' is not mentioned, likely a fabricated fact"
32,continuous values,old_t5small_squad,What does Regression learn to predict?,intermediate results | change value | continuous values | integer values,continuous values,5,5,4,5,Clean and correct
32,continuous values,new_flant5_sciq,Regression learns to predict what?,residual values | variable values | continuous values | fixed values,continuous values,4,5,4,5,"Same content as previous, equally correct. "
32,minimises loss,old_t5small_squad,What does Strategy: find estimate that 18 minimizes loss?,data splitting | minimises loss | perceptron 72 | activations land,minimises loss,1,5,2,2,Gramattically incorrect question.
32,minimises loss,new_flant5_sciq,Using what tool to find an estimate of true temperature is not an ideal way to describe temperature?,magnets | atoms | spectrograms | x-rays,x-rays,2,1,3,1,"The answer 'x-rays' and the other options, along with the question itself, have no real connection to 'minimises loss' as a topic."
32,just scaling,old_t5small_squad,What does a standard linear regression mean?,transform based | flatten reshape | 28 pixels | just scaling,just scaling,3,2,2,1,The answer 'just scaling' does not define linear regression. 
