subject_id,filename,model,summary,coherence_1to5,faithfulness_1to5,completeness_1to5,notes
32,NC Week 5 Dubai.pdf,extractive_only,"• Normalisation layers (e.g., BatchNorm) no “dead” neurons. A conv layer output is a -D tensor: He, K., Zhang, X., Ren, S., & Sun, J. • This path learns a residual correction to apply to x. Dotted arrows: projection skips used when shape changes (e.g., stride or channel increase). ResNet34 has far fewer learnable parameters than VGG19 (~21m vs ~143m, while achieving comparable performance.",3,5,4,Listy but each sentence real. Covers normalisation/residual/skip/ResNet comparison
32,NC Week 5 Dubai.pdf,untrained_base_flant5,"ResNet34 has far fewer learnable parameters than VGG19 (21m vs 143m, while achieving comparable performance).",5,5,2,"Kept only 1 of 5 sentences, dropped the rest entirely"
32,NC Week 5 Dubai.pdf,finetuned_summary_model,"ResNet34 has far fewer learnable parameters than VGG19 (21m vs 143m, while achieving comparable performance.",5,5,2,"Same failure as above. Barely reworded the single sentence it kept, didn't combine anything"
32,NC Week 1 Dubai.pdf,extractive_only,• Learn interesting patterns from dataset with no labels: What has led to the surge in NNs? Perceptron Classifier Is 𝑏< or is 𝑏> ? What will happen if we use the mean instead of sum? What is the probability of being 180cm tall? Probability Density Function (PDF) The probability is zero.,3,5,4,Some garbled math notation but decent conceptual breadth for an intro lecture
32,NC Week 1 Dubai.pdf,untrained_base_flant5,• Learn interesting patterns from dataset without labels: - What has led to the surge in NNs? - Perceptron Classifier Is b or is b>? - What will happen if we use the mean instead of sum? - What is the probability of being 180cm tall? - Probability Density Function (PDF) The probability is zero.,2,5,4,"Failed to produce actual prose, just reformatted the bullet list with dashes. "
32,NC Week 1 Dubai.pdf,finetuned_summary_model,Perceptron Classifier Is b or is b> Probability Density Function (PDF) The probability is zero.,3,5,2,"Dropped 4 of 6 sentences, kept only 2 including a garbled math fragment"
32,NC Week 2 Dubai.pdf,extractive_only,"What’s the gradient (or derivative in 1D) for 𝑥𝑖−ො𝑥 ? How could we get closer to true optimum? • Commute time (min) How can we find 𝑤 and 𝑏? Distribution of commute time 𝑦𝑗 given distance 𝑥𝑗 is normal distribution centred at prediction ො𝑦𝑗. • Use logistic function instead of sgn and interpret output as 𝑝𝒘,𝑏𝑦𝑗𝒙𝑗. • Moving downhill where 𝐵 is random subset of {, … , 𝑛} of size 𝑚≪𝑛.",2,5,3,"Heavily symbol-corrupted (unicode math notation), hard to read but real content"
32,NC Week 2 Dubai.pdf,untrained_base_flant5,        ,1,1,1,Produced no output at all - total failure on this file
32,NC Week 2 Dubai.pdf,finetuned_summary_model,"Using logistic function, we can find w and b for xix. We can use logistic function to find pw,byjxj.",2,4,2,"Garbled math notation leaked through, sentence reads repetitively/confused"
32,NC Week 3 Dubai.pdf,extractive_only,• How complex/powerful should we make our network? Why should I not train on the test set? Why should I not train on the validation set? Why should I not validate on the training set? Why should I not validate on the test set?,4,5,4,"Deliberate parallel-question teaching device (train/val/test warnings), genuinely complete for this point"
32,NC Week 3 Dubai.pdf,untrained_base_flant5,• How complex/powerful should we make our network?,5,5,1,"Kept 1 sentence, lost the actual core teaching point (the train/val/test pitfalls) entirely"
32,NC Week 3 Dubai.pdf,finetuned_summary_model,"If you're training on a test set, don't train on the validation set. You should not train on test set if you want to be able to test a network.",4,4,3,Genuinely synthesized 2 of 4 parallel warnings into flowing prose. Good example of the task working as intended
32,NC Week 4 Dubai.pdf,extractive_only,How many values can we represent like this? Digital RGB Images How many values can we represent like this? This is a dot product over little window! • Shift invariance is desirable as it allows the network to generalise well. • Pooling layers help build shift invariance in convolutional networks. • Resulted from parameter sharing of each convolutional layer.,3,5,4,Some near-duplicate content (shift invariance mentioned twice) that dedup didn't quite catch
32,NC Week 4 Dubai.pdf,untrained_base_flant5,This is a dot product over little window!,5,5,1,"Kept 1 sentence, dropped RGB/invariance/pooling/parameter-sharing entirely"
32,NC Week 4 Dubai.pdf,finetuned_summary_model,Image shows a dot product over a small window. This is a Dot Product Over Little Window. Shift invariance is desirable as it allows the network to generalise.,3,5,3,Combined 2 real points but restates the same fact twice in slightly different words - redundant
